Q115
36
0
5532
3752
6861
5857
0
2948
7780
0
27118
2776
3912
3470
3508
0
0
1810
4703
4959
5283
3842
0
0
2984
7509
4018
10769
4111
0
3306
5041
5693
0
3219
7522
0
5078
8168
3493
4507
3452
0
0
4959
2138
3319
18948
2676
0
312
6044
1527
5100
13867
9842
0
2177
1918
3920
0
4162
816
2114
8433
0
2248
2456
2878
0
0
2247
3202
2933
2329
4714
0
288
3248
2723
5538
4920
4241
0
0
6036
2964
3138
5665
0
4508
5532
0
3138
3673
0
6640
9616
5834
10545
5598
7429
2892
0
83
1803
1876
4392
7030
16777
0
480
5395
3861
7590
4486
1332
5951
5046
0
38742
6757
39
5374
0
2520
5817
0
3362
6643
3094
0
0
2044
2403
3976
5061
4576
0
91
120
6583
3838
6068
5568
0
0
1218
17053
4123
3387
8770
0
4882
7521
0
2687
4888
0
0
0
4728
2746
5194
4929
5966
288
0
1576
3430
3840
7350
4386
0
7
3120
3298
3266
0
0
1191
5333
0
4195
2671
0
6778
10
2486
3580
2216
5586
4666
3999
0
7
6510
5248
4572
5336
4206
0
20
4896
3881
6186
4913
4611
3736
0
0
5538
5428
3774
8733
0
2739
2975
0
1867
5047
4365
0
0
2862
6654
4142
9485
5291
0
0
4417
1287
6495
8583
5383
0
0
3910
4066
1552
3270
5611
0
9832
2818
30
1919
3008
4780
10220
0
3156
4902
6042
14271
13257
0
0
11544
6193
4652
3284
2812
24
0
4399
4526
9856
7
2221
1091
2633
0
5406
4643
4597
6363
0
6120
10099
2140
4362
6497
8280
0
0
4696
3939
5039
3996
5260
0
136
5790
1871
6495
6222
3985
0
11
3242
9902
0
2608
5501
0
4164
2246
0
4821
4546
3625
0
0
5746
2862
4200
3711
4282
0
0
3839
4328
8826
96
60
0
0
5188
4158
5781
7294
44
3064
8889
0
7092
288
1682
7303
0
0
3797
2014
8952
3517
3784
0
0
8077
2850
4074
0
13
0
0
4798
2899
5581
0
2880
2586
20491
5200
0
4484
3203
4919
3927
