Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2015-05-19,3311,2391,11312,12,2403,92,0
2015-05-20,2213,1044,10321,10,3976,1,336
2015-05-21,3392,647,12885,137,5061,114,864
2015-05-22,3233,784,9886,16,4576,85,0
2015-05-23,0,36,0,0,0,0,0
2015-05-24,0,0,48,0,91,0,0
2015-05-25,0,0,120,0,120,0,0
2015-05-26,3826,460,15549,21,6583,0,0
2015-05-27,2393,523,8424,17,3838,454,51
2015-05-28,3304,1997,9010,9,6068,843,0
2015-05-29,4158,1381,12777,34,5568,1,24
2015-05-30,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0
2015-06-01,0,530,3112,5,1218,0,0
2015-06-02,2800,2776,20364,412,17053,0,48
2015-06-03,2294,1780,14515,49,4123,7,0
2015-06-04,3310,700,11115,300,3387,7,12
2015-06-05,1602,333,18297,8,8770,76,192
2015-06-06,0,0,0,0,0,0,0
2015-06-07,3833,488,11739,18,4882,6,0
2015-06-08,3568,1447,12373,38,7521,163,1440
2015-06-09,0,20,0,0,0,0,0
2015-06-10,3496,304,6288,38,2687,8,1
2015-06-11,3637,406,14878,7,4888,151,48
2015-06-12,0,0,80,0,0,0,0
2015-06-13,0,0,0,0,0,0,0
2015-06-14,0,20,66,0,0,0,0
2015-06-15,2465,515,5960,12,4728,17,0
2015-06-16,3093,670,4331,32,2746,208,0
2015-06-17,3273,1095,13776,15,5194,182,337
2015-06-18,3040,2964,12503,39,4929,192,1632
2015-06-19,2047,1092,12964,3,5966,36,12
2015-06-20,0,60,432,0,288,0,0
2015-06-21,0,0,12,0,0,0,0
2015-06-22,3125,541,8877,57,1576,65,0
2015-06-23,3399,2533,13783,8,3430,299,24
2015-06-24,2890,671,13045,42,3840,163,144
2015-06-25,3030,1708,7471,26,7350,6,384
2015-06-26,3362,6749,6921,57,4386,59,0
2015-06-27,0,0,0,0,0,0,0
2015-06-28,0,0,47,0,7,0,0
2015-06-29,2835,1030,10158,507,3120,35,0
2015-06-30,3558,668,7651,11,3298,828,12
2015-07-01,0,718,9085,2,3266,118,0
