B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2907,1633,11676,57,4666,87,576
1960,567,11440,33,3999,209,0
0,0,0,0,0,0,0
0,0,0,0,7,0,0
3351,779,10475,7,6510,52,0
3195,382,8802,65,5248,442,0
4424,478,10176,16,4572,25,192
3787,844,7679,337,5336,309,960
2784,733,11105,7,4206,18,0
0,0,0,6,0,0,0
0,0,144,0,20,0,0
3375,1197,11796,6,4896,3,0
5133,3071,11968,20,3881,135,0
29,1025,16110,14,6186,57,196
0,8971,11497,51,4913,879,0
0,1616,11043,287,4611,8,24
27,613,11599,260,3736,0,0
0,7,40,0,0,0,0
0,0,144,0,0,0,0
3223,491,15103,0,5538,122,288
2274,365,12495,57,5428,53,144
2325,1657,7750,3,3774,54,0
4154,609,14728,2,8733,0,0
0,0,0,0,0,0,0
2791,584,10740,81,2739,159,0
2812,1684,6791,31,2975,6,0
0,0,90,0,0,0,0
3079,207,6527,69,1867,146,0
4407,1775,14507,116,5047,2,0
2683,762,13918,78,4365,123,192
0,0,0,18,0,0,0
0,5,190,0,0,0,0
3328,651,6416,3,2862,125,0
2585,3341,13149,34,6654,43,0
2804,741,9222,6,4142,110,192
2723,734,15081,35,9485,12,1200
3531,235,17824,13,5291,90,5
0,0,0,16,0,0,0
0,0,94,0,0,0,0
3271,639,9234,26,4417,70,0
2995,2098,5525,29,1287,50,0
3056,1477,9830,23,6495,3,4
3851,2520,11582,95,8583,951,0
3214,1777,10819,15,5383,0,0
0,0,0,12,0,0,0
0,30,0,0,0,0,0
3799,319,8128,13,3910,10,0
0,494,8548,9,4066,9,0
2436,637,6116,60,1552,0,0
2565,1786,11582,27,3270,13,0
3323,1794,16012,14,5611,331,1392
0,0,0,0,0,0,0
3239,595,13393,37,9832,85,12
2781,1612,9550,71,2818,322,240
0,9,45,0,30,0,0
4077,808,11116,33,1919,2,0
4405,196,8056,30,3008,20,144
3393,803,11893,9,4780,29,0
3300,604,17780,37,10220,38,144
0,0,0,0,0,0,0
3753,350,7562,30,3156,0,0
3397,517,8436,34,4902,5,0
3441,582,17711,39,6042,252,144
3003,575,14434,52,14271,22,2208
2987,1675,24655,73,13257,16,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
3535,650,23666,31,11544,98,96
4194,1238,13587,71,6193,248,2
3313,848,11775,12,4652,16,168
3093,2228,8113,50,3284,10,0
3029,2258,13310,8,2812,122,1248
0,30,360,0,24,0,0
0,0,0,0,0,0,0
3261,8476,12661,495,4399,79,0
2018,293,10657,36,4526,540,0
1940,2079,24919,38,9856,79,144
0,0,34,4,7,0,0
2335,409,8757,16,2221,15,0
2257,549,4825,23,1091,72,24
2664,1183,8114,17,2633,143,0
0,0,0,0,0,0,0
2046,1430,10316,10,5406,200,0
3685,1210,9864,33,4643,238,12
4138,597,10378,9,4597,63,0
3004,702,17044,26,6363,3,96
0,0,0,0,0,0,0
4100,301,7759,40,6120,83,0
3176,1061,14052,27,10099,18,864
4775,502,8578,37,2140,125,0
3579,484,7237,371,4362,176,144
4082,2045,17068,18,6497,0,2256
2952,661,12328,99,8280,223,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
3900,2489,13465,21,4696,132,1
3076,901,5119,12,3939,105,0
4659,729,15657,23,5039,319,384
3600,1062,8650,24,3996,105,820
3699,942,12162,117,5260,0,0
0,0,336,0,0,0,0
0,0,216,0,136,0,0
2741,798,6130,80,5790,3,0
3629,3031,10767,0,1871,738,0
3368,1256,12630,31,6495,230,148
3268,2072,9099,62,6222,429,336
3792,605,12110,30,3985,11,193
0,8000,0,6,0,0,240
0,0,77,0,11,0,0
2046,714,10651,136,3242,1,0
2134,467,11796,24,9902,0,624
0,0,0,0,0,0,0
4032,442,7638,62,2608,118,0
3930,512,11341,115,5501,75,482
0,0,0,16,0,0,0
3053,563,7029,49,4164,107,0
4068,254,11825,12,2246,9,48
0,0,0,0,0,0,0
3340,1082,12454,37,4821,5,340
3989,1578,12957,140,4546,156,24
4120,711,13307,39,3625,215,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4011,795,10534,39,5746,131,0
3793,168,7024,49,2862,135,0
4712,424,17503,75,4200,83,168
2975,8436,9482,9,3711,431,0
5283,322,12704,47,4282,392,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
3488,1184,12027,45,3839,15,0
2694,759,8598,49,4328,103,0
3270,774,11723,216,8826,32,0
0,0,624,12,96,0,0
18,0,0,0,60,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3223,1417,15105,15,5188,87,0
336,881,4755,0,4158,229,0
1516,2514,14056,62,5781,53,348
1280,1149,18735,1,7294,0,49
0,0,0,0,44,0,0
2589,708,4763,26,3064,17,1
3737,1491,18181,18,8889,15,0
0,0,0,0,0,0,0
3999,976,15699,29,7092,54,336
0,0,0,6,288,0,0
5347,841,9608,37,1682,79,1
3092,1437,13646,75,7303,206,1104
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2510,442,15272,13,3797,74,0
3993,1040,8037,47,2014,63,0
2561,834,16878,39,8952,188,0
3343,615,8024,10,3517,0,0
5779,1107,11233,27,3784,26,0
