B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
0,0,0,0,0,0,0
3425,1356,12055,1,5895,43,0
2437,956,10280,62,3614,56,0
3518,638,9397,35,4166,4,0
4274,544,17214,53,9955,294,307
4415,527,14344,177,7634,283,1
0,0,116,6,66,0,0
0,0,0,0,0,0,0
2928,1001,14932,35,6691,2,0
0,6,0,0,0,10,0
0,0,0,0,0,0,0
4360,1321,17386,26,8126,220,0
3302,561,10855,145,3692,146,0
3704,1134,13701,14,3173,1,1
3200,889,8933,21,5856,144,0
0,0,0,6,0,0,0
4151,1368,12089,66,3198,99,72
5043,2399,11832,36,3260,991,533
0,0,0,0,0,0,0
3032,510,8387,12,2213,351,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3263,2258,16734,39,7882,38,0
2686,889,10264,42,1642,10,0
3032,356,21209,122,25077,107,0
2836,2805,16122,172,9355,930,980
2896,1644,14643,21,6855,74,233
0,0,115,24,66,0,0
0,0,0,0,0,0,0
3955,993,16179,38,7576,88,6
3520,2572,8465,41,14854,156,0
3131,3288,14409,126,9139,46,471
3172,1259,20868,24,6553,20,1640
3199,745,17605,13,13017,71,0
0,0,0,6,0,0,0
0,0,116,0,0,0,0
0,0,3552,0,2640,0,0
3683,1204,10761,140,5521,207,96
3177,511,12955,19,5541,215,0
2875,340,7428,150,3131,15,0
4093,2463,13330,156,2296,50,0
4184,1029,10739,39,3106,0,0
3227,832,10002,101,4760,174,0
0,35,0,18,0,0,0
3718,696,10051,37,4959,80,0
3753,1537,12561,47,23908,50,196
0,0,0,0,0,0,0
3675,1714,11571,43,2044,33,1
5199,24,10554,372,5172,15,1
3899,1378,9866,84,3568,44,0
3420,1731,12737,108,4565,134,4
3247,432,24016,29,1550,3,0
3532,640,10987,24,3596,129,16
3961,3900,9313,42,4790,26,1440
4134,226,17411,23,3873,66,0
0,0,144,6,0,0,0
0,0,0,0,0,0,0
3399,1254,12702,32,1318,15,0
3108,667,9358,50,6054,82,0
4264,1248,10850,30,7451,24,0
3833,2826,12636,57,4903,1149,618
6317,360,8199,71,4072,33,0
0,0,0,6,0,0,0
30,0,0,0,0,0,0
3563,359,11630,71,6267,80,36
3768,851,10354,111,5798,78,0
2593,874,11472,62,9477,16,240
2950,1381,6213,165,2149,263,384
3579,757,14821,43,2256,67,0
0,0,0,0,0,0,0
3114,466,6839,53,6662,14,0
3359,447,7322,34,2068,219,0
4238,1196,15907,79,7863,43,1584
0,0,0,0,0,0,0
4608,1103,12071,12,2650,227,299
3270,247,15270,37,9474,239,1008
3867,2110,8407,97,4259,0,0
3907,2551,15419,60,4315,47,192
0,0,0,0,0,0,0
3567,451,6576,54,2668,3,0
2999,2665,15329,52,8373,66,0
4103,1537,13495,338,4624,412,0
2936,344,13119,73,6353,128,0
0,0,0,6,70,0,0
0,0,0,0,0,0,0
2339,856,11059,35,4655,97,0
3493,341,10369,42,2321,52,0
2928,6112,12539,61,10140,0,216
3028,1274,12189,36,8784,863,1154
3802,356,17404,67,4201,107,384
0,0,0,0,0,0,0
0,0,115,0,0,0,0
2824,2752,22519,3,18048,68,0
2999,418,12413,51,2806,272,1
4618,808,15520,21,12360,104,200
4350,517,11849,57,43416,1017,84
0,4077,9827,54,3922,130,37
0,0,0,6,0,0,0
0,0,0,0,0,0,0
0,1517,13474,67,7279,24,0
0,0,0,0,0,0,0
3013,868,16769,19,4892,241,192
3921,1124,12141,40,3546,54,0
0,0,0,0,0,0,0
6340,836,8560,61,3382,12,48
3726,525,7809,60,11789,120,602
0,0,0,6,0,0,0
5586,662,7386,323,4515,29,0
2549,708,47893,125,21161,23,372
0,0,0,0,0,0,0
4613,323,15567,93,5010,1,0
3828,690,15258,45,2708,83,193
0,0,0,0,0,0,0
4047,3208,14109,63,3349,61,72
3598,563,10461,132,3869,204,0
3209,754,10120,32,3000,95,2
3326,2879,16248,127,22974,1081,1488
4593,1393,17827,48,4432,29,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3715,2315,12233,44,4443,40,1
3736,414,8473,42,2363,134,0
5109,1006,15264,36,5446,390,576
4097,1627,13297,113,14737,368,864
4892,1234,13039,65,3279,40,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3531,872,9218,59,6969,28,0
3041,560,13809,22,3347,4,1
3946,1749,20392,38,9631,1,2
4114,641,17701,71,12452,16,1404
2721,356,10024,38,1506,115,0
4347,2118,13204,12,4540,12,432
4596,370,9458,98,4723,15,836
0,0,0,0,0,342,0
4414,664,10609,124,6422,201,0
3901,754,4607,102,6751,0,0
0,0,0,0,0,0,0
4170,892,7950,69,5516,204,5
0,0,0,0,0,0,0
5065,50,3860,89,6690,2,1
3873,3980,15924,123,4322,60,0
0,0,0,0,0,0,0
2927,1018,8087,382,2207,18,0
2533,1675,14786,64,30958,74,1104
3410,1532,10631,129,3368,458,0
0,0,0,6,62,0,0
0,0,0,0,0,0,0
3540,443,10742,33,2393,210,0
3108,575,8073,18,5686,413,51
3325,606,22822,11,27475,112,246
2763,3695,15882,145,16154,1415,0
3054,15454,14141,18,10341,3,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3089,2374,27559,12,12008,504,0
3309,540,11083,132,1422,12,0
2990,3777,23689,40,6437,82,313
4907,1082,9488,648,22038,78,1296
4888,756,17623,10,7088,73,192
0,0,0,0,0,0,0
4499,296,5905,35,2039,1,0
3608,393,15749,71,5694,17,0
4141,375,11129,24,3503,78,0
4114,949,8244,149,2388,80,0
3077,605,14108,13,15306,426,947
0,0,0,6,0,0,0
3366,976,15541,127,5482,121,12
3253,1675,7818,26,10955,313,432
0,0,0,0,0,0,0
2557,8077,6972,81,1963,282,0
4521,665,12558,136,6789,15,1248
0,0,0,0,0,0,0
4425,682,12110,58,7814,144,144
0,0,0,6,0,0,0
0,0,0,0,0,0,0
2911,585,9532,25,2677,82,1
2972,3132,6735,45,1802,14,0
2600,320,8036,39,3213,240,768
3516,2035,15884,50,14712,1103,127
2652,469,22107,13,14154,5,816
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4134,342,10815,107,2470,432,0
4362,2876,14131,16,66821,33,0
4401,1306,18923,112,6058,240,0
3799,2621,15410,188,9994,165,816
2082,438,11439,89,5190,300,469
0,0,0,3,0,0,0
0,0,0,0,0,0,0
4179,2010,8362,18,5682,53,1248
4670,1312,8716,82,7766,55,0
3654,752,17928,103,7891,7,720
0,0,0,0,0,0,0
0,0,240,12,144,0,0
5059,270,8706,107,3255,148,0
4270,382,9988,66,5029,14,864
0,0,0,0,0,0,0
4804,304,8770,118,17244,64,1
2989,1133,9725,131,4267,246,240
3386,2417,23799,67,4924,60,1
4201,5642,12506,71,4570,287,40
0,0,120,0,0,0,0
3252,3134,12747,109,2196,85,0
2917,423,13204,24,3202,59,628
4989,565,6857,18,1784,0,0
2794,1193,13826,45,6304,299,192
2685,1763,25482,241,13495,986,1484
4470,994,12944,18,5846,211,724
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4290,828,5580,14,2545,386,0
3477,236,9552,71,3064,289,0
4209,2025,18181,93,6100,0,193
0,0,96,6,96,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4052,2204,12066,119,3780,308,1476
4074,116,11737,149,32941,213,144
5228,442,14115,23,5570,4,192
3738,2381,14081,32,10551,1224,0
2944,2011,11651,68,4590,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4252,799,10946,9,5006,5,192
3095,438,18881,82,4712,213,0
2179,2365,17048,42,6754,76,0
2341,854,15069,26,3233,287,4
0,0,0,0,0,0,0
2950,755,16365,129,5723,2,0
4733,6146,9016,181,4519,363,2017
0,0,0,0,0,0,0
3068,742,19746,121,35526,1,0
2946,1307,16826,86,7000,443,240
3224,2350,16480,71,16828,1071,26
254,312,15163,82,9582,432,0
0,0,0,24,0,0,0
0,0,0,0,0,0,0
3638,1732,12059,345,4711,90,0
2596,686,6562,32,2261,4,0
3943,5704,17812,86,9260,250,482
2608,2304,13781,57,18954,249,1104
2770,180,2206,9,648,175,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,503,6449,176,2312,5,222
76,743,5508,175,1750,294,0
108,1576,16930,64,25610,5,436
0,264,3442,3,1044,120,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3266,1175,17250,134,16906,483,0
2439,1453,17384,67,13744,148,0
0,24,149,0,0,0,0
3317,432,14824,65,4257,144,0
4151,964,19703,120,4848,242,49
0,0,0,0,0,0,0
2854,407,9898,39,4413,72,341
0,0,372,12,0,0,0
3046,2664,16207,0,7131,201,0
2598,1799,27567,11,15973,1,0
0,0,0,3,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4586,2417,6258,88,4648,0,0
3571,181,3425,36,1384,1,0
4160,242,6496,55,1696,80,0
2669,3161,21709,9,23330,731,8
4348,387,11506,22,2478,0,4
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3192,387,5960,204,5985,0,18
3679,536,6420,24,2499,187,0
3605,663,13232,88,3508,279,0
4175,3117,18247,117,21316,110,0
5099,2076,22047,138,9038,7,610
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3926,3015,8724,32,3570,205,144
4035,493,13522,84,2184,555,0
3717,890,14462,93,7014,351,4224
3313,1060,12698,33,6331,80,0
3331,407,8944,73,3215,0,0
2758,524,6832,26,2205,46,1
3471,1839,12152,69,4990,90,0
4241,1793,13361,68,5950,96,0
0,0,0,0,0,0,0
3479,951,13339,91,4334,10,0
5217,1838,32990,28,17736,46,817
0,0,10,0,0,0,0
2960,429,8570,0,4321,168,12
3084,3471,8786,0,2484,0,192
0,0,48,0,48,0,0
4970,644,13723,67,32500,3,1850
4161,461,11320,16,4102,201,2
4649,783,13594,89,6173,29,0
4401,466,6098,85,3242,6,24
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3465,1892,10085,26,5711,85,84
2662,2446,8244,219,3764,24,0
3452,1393,15477,36,3605,471,4
3126,1106,11703,99,9396,0,0
4247,349,11531,86,4331,876,0
0,0,0,0,0,0,0
0,10,114,0,0,0,0
3292,654,13036,52,6645,399,2880
2915,181,11495,57,5049,0,0
2549,842,17319,54,7343,153,240
3396,641,12674,41,3330,100,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3814,584,10091,47,2978,112,1
2453,827,16692,81,19868,143,936
0,0,0,0,0,0,0
4229,1048,12871,16,3765,8,73
4032,442,10878,90,4062,176,242
0,0,96,0,0,0,0
4201,1077,16804,3,13290,166,0
0,0,96,18,96,0,0
3887,983,9232,0,3529,0,1
2799,2775,11143,176,2461,67,0
2911,467,14795,21,10909,392,196
3137,1452,10228,79,11888,148,532
2680,416,7202,255,3210,122,48
0,0,0,30,0,0,0
0,0,0,0,0,0,0
2713,2292,18266,38,5302,55,0
3294,989,8793,32,2488,189,0
3692,534,15221,71,5058,6,1104
4202,2269,18403,130,16577,1509,0
4186,518,5080,95,2898,34,48
0,0,48,0,48,0,0
0,0,48,0,48,0,0
2516,789,13882,129,6756,15,0
2820,947,9455,89,3226,235,0
3446,1812,15655,75,6632,166,432
4056,1271,16160,45,20482,49,1104
0,529,16556,83,7177,318,204
0,0,0,0,0,0,0
2775,6448,21249,116,21195,6,4
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5192,3353,15287,48,4162,166,528
3830,222,16532,87,5525,1,0
3984,1847,9678,72,4115,19,0
0,0,0,12,0,0,0
0,7,83,6,48,0,0
3798,541,13768,108,6313,21,0
2217,2004,40785,3,31909,1472,0
0,0,0,0,0,0,0
3333,349,12381,2,6572,0,10
2246,1153,13645,12,6188,96,0
0,7,180,6,49,0,0
0,0,36,0,0,0,0
3281,576,19550,246,34544,5,216
4009,694,7816,23,7870,33,0
3604,646,15327,68,8824,201,242
4817,634,9065,64,21227,6,1
3693,817,6386,65,2492,8,240
0,0,0,0,0,0,0
0,0,240,0,96,0,0
3346,1000,12812,22,3755,238,0
2450,2921,13875,63,6591,1129,0
3723,1080,24264,31,6803,20,520
3968,4001,22009,109,20968,153,720
3721,384,11768,62,4891,50,192
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3039,544,16286,109,7926,166,0
3984,470,10168,109,3416,177,0
5285,1696,12121,44,2865,1,756
2707,1422,12269,4,6330,452,1440
4397,2770,16905,21,17130,177,972
0,0,0,0,0,0,0
4445,1306,12587,275,4123,399,0
3485,2317,17884,12,7008,27,289
0,0,86,0,0,0,0
3514,934,7430,239,2722,354,1
3281,1293,16010,3,15618,162,0
1818,1369,9211,9,5544,0,0
4300,623,14440,3,5319,0,0
0,0,0,0,0,0,0
3441,849,13216,71,3192,82,12
3224,12897,30491,104,16363,334,3
3688,4099,20966,161,5200,73,196
2858,328,12688,27,22131,37,1584
4247,1940,7940,69,7049,0,192
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3041,2494,10303,57,3579,421,72
3965,472,14399,136,2984,128,0
3852,851,12522,277,6180,233,533
2701,2143,17045,82,14903,1363,0
3723,818,12129,164,8092,72,193
0,0,0,6,0,0,0
0,0,0,0,0,0,0
0,0,281,0,0,0,0
3113,1098,14592,78,4728,180,0
3230,1830,18814,39,8160,7,0
3473,2013,20386,111,25195,70,2454
0,0,0,6,0,0,0
4139,214,7506,24,1198,115,0
3946,707,6624,70,3339,64,0
6460,392,9705,62,2840,236,0
0,0,0,0,0,0,0
3372,1040,18988,46,5109,80,501
3503,351,14435,49,6728,13,0
3722,676,10210,26,3943,130,0
3863,3877,21245,3,26006,92,1086
0,0,0,0,0,0,0
2817,1399,10230,19,3386,0,0
3356,3802,12063,106,8006,0,289
3778,1162,15952,93,7351,37,29
3310,1800,12573,60,10068,2,1057
2469,2907,6155,103,2336,68,120
0,0,0,8,0,0,0
0,0,0,0,0,0,0
3130,2007,12554,60,3830,11,1
4228,219,8058,69,4092,21,0
2933,1317,12889,76,3921,218,300
4013,2384,19154,91,24986,321,4
4145,696,12022,36,3974,213,0
0,0,96,0,96,0,0
0,0,600,0,240,0,0
3045,1037,9208,144,6723,47,0
2637,319,27222,12,7863,52,0
3922,705,27104,54,11994,138,276
3122,903,32395,51,27853,1724,1104
3450,672,15724,99,7285,7,1
0,104,2232,6,2025,0,0
0,4,0,0,0,0,0
3939,1271,6540,31,2710,159,0
3815,1154,14229,179,4491,61,241
0,0,192,0,192,0,0
3580,940,13711,29,5433,1,0
3629,3669,13883,52,10542,1536,0
0,0,0,0,0,0,0
4421,577,7149,29,1761,66,0
3396,502,14475,15,4926,26,48
0,0,96,0,48,0,0
2594,669,12988,0,5381,0,8
4734,887,12713,12,3422,0,0
2476,399,9339,80,6085,21,2
0,0,0,0,48,0,0
0,0,0,0,0,0,0
3887,8256,17771,26,4197,13,0
3965,336,9486,24,5826,168,14
2505,1199,11730,87,4514,300,1
4450,669,9270,122,60391,92,1224
4453,580,9288,54,3106,284,384
0,0,48,54,48,0,0
0,0,0,0,48,0,0
3775,669,7088,118,1460,8,0
3132,3372,11525,88,4626,39,0
2936,1105,12317,35,5183,413,276
3066,4698,16328,71,19105,164,0
1917,336,12959,88,5021,13,0
0,0,0,18,0,0,0
0,24,96,0,48,0,0
53,1189,12827,21,5100,31,0
0,729,12832,59,5155,43,0
4034,1380,10103,91,5413,350,84
4234,7884,12326,44,2856,397,0
1753,435,19447,157,14425,57,768
0,0,0,0,0,0,0
2992,516,12485,81,2683,257,0
4007,301,7628,80,3878,27,1
0,0,288,0,240,0,0
4034,1099,7907,128,3024,125,193
0,0,0,0,0,0,0
2535,1012,9489,0,2299,0,0
2667,1882,13809,3,21544,0,409
0,0,0,118,0,0,0
3366,439,6602,17,4444,440,0
3330,438,7148,48,1872,107,0
2974,508,12975,45,3937,90,5
3682,974,16997,76,16560,124,690
3132,287,6398,45,3432,58,0
0,0,48,18,48,0,0
0,0,164,0,48,0,0
3184,690,6115,13,2155,48,1
2514,862,18942,17,12937,0,0
3458,558,15226,139,5554,485,435
3196,3895,21780,146,14348,134,948
3486,823,9575,78,4130,1,36
0,0,0,6,0,0,0
0,0,48,0,48,0,0
3548,1028,12160,33,1500,48,30
2362,1082,13140,83,4799,0,132
2359,1031,22316,118,11578,799,194
3536,1234,19009,42,23778,14,192
3403,2958,19550,86,10664,39,192
2507,880,7169,9,693,16,0
4231,15419,8260,26,1496,53,0
4507,945,12980,30,3656,144,204
3280,5739,8765,66,2732,423,0
3624,699,10639,89,6155,164,217
0,48,0,10,0,0,0
3449,602,17794,74,7590,12,0
2296,1291,13904,118,20802,1515,96
0,0,0,0,0,1,0
1902,782,10603,77,8424,30,1
3015,324,11522,0,5897,0,1
0,0,0,0,0,0,0
3412,3343,18133,113,27729,5,0
3531,1697,23423,189,7571,270,12
0,0,0,18,0,0,0
0,0,0,0,0,0,0
4939,2869,9645,26,2792,449,0
3312,609,10865,25,3467,57,0
3768,1060,11614,51,5841,342,290
4829,4787,13049,106,17108,312,1344
3540,1010,11125,105,3192,519,48
0,0,152,0,0,0,0
0,0,0,0,0,0,0
2697,881,6435,71,7279,38,0
3644,1318,5624,26,36877,106,36
6115,956,16863,0,8707,234,540
2771,1442,24365,0,17850,35,576
2816,1174,20431,0,23860,14,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4002,604,8650,47,3760,84,384
0,24,96,9,96,0,0
0,0,0,6,0,0,0
3671,605,11721,93,4998,155,0
4100,1457,13342,123,13671,17,0
0,0,48,0,0,0,0
4341,549,6911,180,7567,287,1
3047,414,14911,185,3330,80,0
2919,2876,10961,39,22426,265,0
3413,374,15067,45,4716,12,252
0,0,0,0,0,0,0
2154,2559,8141,0,3499,0,38
0,12,0,0,0,0,0
0,0,192,0,0,0,0
3068,1174,12195,15,3802,2,0
3847,527,6740,105,4638,1443,0
4198,935,11918,235,4111,10,241
3791,1776,16348,207,11911,154,913
3035,543,10968,0,3984,45,1
0,0,0,0,0,0,0
0,0,96,0,0,0,0
2474,1384,19627,3,11335,14,24
4041,2562,7066,161,2391,1,0
2558,1662,15651,42,4801,34,0
3770,6401,11721,84,12679,16,0
1952,450,18333,0,7791,0,12
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1784,552,11340,3,7256,0,0
2680,1189,28090,38,29666,0,0
3370,513,12684,30,5638,0,865
3878,1265,57279,33,32506,30,4
0,8,0,0,0,0,0
0,20,240,0,240,0,0
4452,559,12393,30,10523,61,0
2736,894,18543,93,12715,262,6
4149,2069,8843,37,3021,255,0
3404,2878,16549,85,3839,451,194
0,0,144,0,0,0,0
4454,504,8973,78,5235,1469,1
2602,1612,22330,8,31639,48,2064
0,0,48,0,0,0,0
3557,331,5292,4,2086,0,0
2804,563,9159,32,2972,0,0
2231,926,13434,3,6056,0,393
2275,856,19523,0,19311,0,0
2431,822,12093,0,3661,0,240
0,0,0,0,0,0,0
0,30,48,0,48,0,0
3005,919,19727,0,7315,0,0
4147,514,7326,0,2547,0,0
3395,1088,26274,0,8778,0,58
0,0,564,0,192,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3266,2920,10159,0,6593,0,1104
2495,2872,17389,6,23997,0,0
2961,1503,13821,20,6692,73,0
4542,435,15520,3,48324,8,336
3351,840,12129,0,8643,0,0
5492,521,8714,87,4332,366,2
3329,28975,14853,73,6863,14,816
3080,1390,12334,40,9813,48,0
3253,1810,20060,100,44592,114,720
0,0,0,23,0,0,0
2885,424,12824,113,3587,116,96
4086,1819,18232,106,14552,289,1
0,0,0,0,0,0,0
3134,290,16805,344,4539,230,20
3732,631,11290,11,4438,521,0
2932,860,7326,33,8486,0,0
3414,1652,19605,3,5143,0,240
3075,936,23154,40,11941,1,864
3589,1073,11874,0,4024,0,192
0,0,0,13,0,0,0
0,0,0,0,0,0,0
2702,848,6792,0,3304,0,0
2826,1168,7407,127,3966,0,0
4071,885,14773,6,5325,0,0
2734,2864,15145,99,16491,0,72
2942,451,6192,0,2239,0,0
0,120,480,0,384,48,0
0,24,96,0,96,0,0
68,0,144,0,0,684,0
0,0,0,0,0,25,0
1200,10233,17067,4,7292,1,0
1789,781,6889,0,13004,0,0
2861,1827,18063,77,8818,0,49
0,0,0,6,0,0,0
0,0,0,0,0,0,0
0,484,12976,293,2860,0,0
0,0,0,0,0,0,0
2895,324,6340,39,2839,0,0
2500,512,15045,0,3786,0,0
1702,798,12490,0,4878,416,1
4297,2630,13900,261,8364,187,216
0,0,0,0,0,0,0
3343,1573,12206,102,8828,254,1
1932,1867,20322,0,7586,28,144
0,0,0,0,0,0,0
3794,602,10109,17,2562,1,0
2552,1056,15258,55,15608,95,0
0,0,0,0,96,0,0
3065,945,9999,0,3854,0,1
3377,772,5850,0,813,0,0
3817,1458,15540,0,4846,0,192
5076,923,13691,0,14282,0,1200
4987,487,11265,18,3149,0,0
0,0,0,0,0,0,0
0,0,78,0,0,0,0
2123,1006,13912,10,2696,0,0
3101,437,7642,0,13879,0,0
2966,485,13306,0,3456,0,297
3603,3086,19639,3,23249,0,0
3927,835,12978,30,8207,0,0
0,0,0,0,0,0,0
0,0,0,0,0,162,0
2826,369,10294,43,7582,210,0
1693,349,19880,0,3998,24,0
2663,789,17009,31,5816,0,384
1954,1363,9380,12,14535,0,613
3356,634,9933,202,6914,0,0
0,0,0,0,0,144,0
0,0,0,0,0,1484,0
1909,985,8684,105,5697,1,1
4153,1984,12812,429,13472,589,864
0,0,48,0,48,0,0
2932,710,8771,34,3035,110,0
4797,625,7958,24,3942,133,96
0,0,1514,0,1968,67,0
3302,689,21720,52,32400,99,156
0,24,0,0,54,0,0
1918,932,18415,6,10464,0,337
3370,531,10805,6,13906,2,0
2865,703,11005,12,5506,0,0
0,0,0,0,0,0,0
0,0,0,0,48,1605,0
3066,733,20063,0,8393,0,0
3007,188,5342,0,1875,0,0
4035,613,10598,0,3720,0,4
3190,7257,18598,3,14772,0,720
3574,736,9176,0,8588,0,265
0,0,96,29,0,1,0
0,0,0,0,0,0,0
3098,2505,9851,0,2044,0,1
3820,581,9181,0,2494,0,0
2107,1116,12361,0,5448,308,384
3636,2088,28836,3,24900,0,724
3572,549,11858,55,10349,0,0
0,0,0,36,0,0,0
0,0,0,0,0,0,0
3354,759,17189,6,11617,1815,164
2555,400,9347,162,4711,0,0
2106,1081,20127,41,8632,41,0
2749,1356,13171,18,4514,135,10
0,0,0,0,0,0,0
3921,1221,20195,4,7806,1,5355
2265,1634,11641,57,6256,97,624
0,36,108,0,0,0,0
3470,285,15346,0,6841,60,193
3148,832,19736,0,18651,0,768
3927,998,13220,0,5702,0,2
0,0,0,0,0,0,0
0,20,0,0,0,0,0
3150,2119,22313,0,5643,0,2
3820,508,12176,15,3995,0,0
4248,978,10459,0,6099,123,3
3164,549,10391,0,7262,10,1
4023,676,8965,0,12253,0,0
0,0,48,0,48,0,0
0,0,384,90,48,232,0
4137,2020,6775,0,2457,25,0
3008,519,8013,0,3571,65,0
2799,348,21153,137,43417,422,193
3327,2290,20746,0,7987,1159,720
1454,520,10070,1,4575,290,48
0,0,364,0,0,7,0
0,0,480,0,0,0,0
4272,336,16904,6,9115,0,0
3539,1068,9963,3,4185,527,0
4307,2516,6271,85,9958,0,0
2156,1191,16425,193,17955,106,1152
0,180,240,0,192,109,0
2548,965,12534,158,7589,209,146
0,10,480,66,600,0,0
0,0,2880,0,2880,0,0
3035,1286,15287,19,8654,503,0
2902,5486,9176,98,3427,603,120
0,0,0,156,0,0,0
0,0,0,0,0,0,0
2373,879,23128,10,12622,0,0
3058,572,9056,6,1904,59,2
2518,799,20867,19,8901,1312,192
3100,1183,11971,229,11125,1025,960
0,692,19044,261,7204,0,194
0,148,288,0,0,0,0
0,0,0,0,0,0,0
3146,1221,9911,60,9820,0,0
959,536,9055,0,2707,114,0
2357,635,12685,12,7524,403,240
2038,1871,6825,21,6635,33,60
3749,1189,7004,6,3543,151,192
0,0,0,48,0,0,0
0,0,0,0,0,0,0
2159,1951,12227,3,6040,82,2
3636,663,7645,3,3084,43,0
0,0,0,18,0,0,0
2262,600,7849,6,1417,0,0
2387,200,8408,0,2199,0,0
2939,1469,10814,3,2422,145,0
0,25,144,0,96,240,0
1887,6453,12660,119,5462,554,5
4222,657,10163,316,21203,18,0
3153,3144,13793,57,13358,111,0
5071,1828,20783,42,21558,716,0
0,0,96,0,0,0,0
4320,3542,7998,27,3780,1048,2
3005,352,12944,70,3348,196,0
3168,595,11829,607,3529,669,28
4454,1874,10641,1547,8387,121,144
3358,542,6646,242,2432,96,4
0,24,36,135,0,0,0
0,0,0,0,0,12,0
5812,1393,9930,565,3496,295,2
2930,607,14215,56,5837,356,2
3914,1187,14680,120,5084,570,17
4184,2051,17397,76,16846,430,0
1707,2474,16958,41,4079,207,193
0,0,0,0,0,0,0
0,36,192,0,192,0,0
0,24,468,0,204,114,0
3804,776,10884,21,6054,116,864
3021,541,10996,20,7535,22,2
2437,2640,23438,18,21473,340,8
1950,463,10627,21,7896,55,14
0,0,48,0,0,0,0
3420,1023,11809,15,3208,0,192
3318,1333,12544,11,5705,32,253
0,0,0,30,0,0,0
5176,1332,8816,6,3350,130,1
4166,2431,19891,30,17535,212,1
0,0,0,112,0,0,0
3290,627,3910,0,4124,32,88
3263,269,14974,86,3081,234,0
0,0,0,0,0,0,0
3691,969,10159,6,7181,167,48
3616,1433,14075,162,9206,297,0
0,0,0,6,0,0,0
0,0,48,0,36,0,0
2908,1696,14648,54,7623,26,144
3540,862,4686,144,1993,68,0
2745,1762,14019,157,7336,266,410
2918,1628,14883,114,25338,148,684
2028,301,7116,306,4535,44,98
0,0,48,0,0,0,0
0,0,0,0,0,0,0
3399,1526,13255,38,7046,239,1
3748,694,10070,74,5980,108,13
3101,1206,18354,109,6055,472,2
2933,597,17533,60,13592,440,385
4427,2976,10480,48,6612,69,576
0,0,0,102,0,0,0
0,84,0,0,96,3,0
2598,3243,25365,258,12858,0,0
4440,548,10777,0,19610,0,816
3162,2023,12881,0,13071,0,75
0,0,0,0,0,0,0
3678,509,6709,6,5472,135,0
3088,686,8911,255,4008,338,1
0,24,48,0,48,0,0
2597,1316,11493,272,9395,906,5
0,0,0,0,0,0,0
3740,1936,11429,202,5828,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4169,1481,13031,48,7131,23,6
3373,497,7677,21,4880,10,0
3469,1520,24740,6,13777,273,586
2294,1173,8675,153,7407,515,0
3074,936,14036,414,6277,12,121
0,0,0,64,0,0,0
0,0,144,0,48,0,0
2314,608,13560,182,13133,153,1
3142,1114,9028,42,1851,94,1
2252,1051,12378,90,9155,278,8
2933,545,17252,152,4770,31,85
2033,1023,10479,40,3912,456,240
0,0,0,4,48,0,0
0,48,0,0,112,0,0
81,5814,18387,111,18010,5,2880
37,882,7100,30,2259,0,144
0,1429,20925,6,9752,114,289
3317,365,5820,15,2793,0,0
4022,1389,15163,3,3049,1,0
2886,800,14677,0,5805,0,2
3057,6202,14736,0,16184,58,1
2827,1045,14500,18,5653,2824,304
0,0,96,0,0,0,0
4219,3896,13668,46,10577,506,98
3313,1002,18212,121,9383,279,0
0,0,0,0,0,0,0
2564,521,9690,27,8025,0,0
2973,912,5611,128,1644,40,240
2724,968,18968,205,11485,544,107
2741,3947,11786,92,7617,251,19
4465,332,8798,197,2638,43,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3209,1716,25070,153,11667,109,72
2555,553,10247,27,2287,273,1
3394,1177,14144,41,8199,422,159
3796,3378,9529,102,4261,31,96
2865,722,9880,31,7599,88,2
0,0,0,0,0,0,0
0,0,240,0,0,0,0
3884,1393,18414,21,15624,1,0
4025,866,13586,55,14542,102,48
4173,2840,19219,60,8320,172,34
2550,2652,23513,102,17048,482,0
3929,1547,23821,133,11775,8,480
0,240,444,27,336,0,0
